user_id,Age,Occupation,Monthly Income,Family size
1,20,Student,No Income,4
2,24,Student,Below Rs.10000,3
3,22,Student,Below Rs.10000,3
4,22,Student,No Income,6
5,22,Student,Below Rs.10000,4
6,27,Employee,More than 50000,2
7,22,Student,No Income,3
8,24,Student,No Income,3
9,23,Student,No Income,2
10,23,Student,No Income,4
11,22,Student,No Income,5
12,23,Student,Below Rs.10000,2
13,23,Student,No Income,5
14,21,Student,No Income,4
15,23,Self Employeed,10001 to 25000,5
16,24,Student,No Income,6
17,28,Employee,25001 to 50000,2
18,23,Student,No Income,3
19,25,Student,No Income,4
20,21,Student,Below Rs.10000,1
21,24,Student,No Income,3
22,22,Student,No Income,4
23,22,Student,No Income,4
24,23,Student,No Income,4
25,21,Student,Below Rs.10000,3
26,25,Student,No Income,3
27,22,Student,No Income,5
28,22,Student,No Income,3
29,23,Employee,10001 to 25000,3
30,22,Student,Below Rs.10000,4
31,22,Employee,10001 to 25000,5
32,22,Student,No Income,4
33,25,Employee,More than 50000,4
34,22,Student,10001 to 25000,5
35,22,Student,No Income,2
36,25,Student,10001 to 25000,3
37,25,Student,No Income,5
38,32,House wife,No Income,5
39,23,Student,No Income,3
40,23,Student,No Income,4
41,30,Self Employeed,More than 50000,4
42,23,Student,No Income,3
43,23,Student,No Income,4
44,22,Student,No Income,5
45,22,Student,No Income,5
46,27,Self Employeed,10001 to 25000,2
47,24,Student,No Income,3
48,23,Student,No Income,2
49,23,Student,No Income,3
50,22,Student,10001 to 25000,5
51,23,Student,No Income,5
52,23,Student,No Income,2
53,24,Student,No Income,3
54,25,Student,No Income,2
55,22,Student,No Income,3
56,28,Student,No Income,2
57,22,Student,No Income,1
58,24,Student,No Income,3
59,31,Employee,More than 50000,5
60,25,Student,No Income,4
61,23,Student,No Income,5
62,22,Student,No Income,3
63,23,Student,25001 to 50000,1
64,23,Student,No Income,4
65,23,Student,No Income,2
66,25,Student,No Income,6
67,24,Employee,10001 to 25000,4
68,23,Student,No Income,4
69,23,Student,No Income,4
70,24,Employee,More than 50000,4
71,22,Student,No Income,4
72,24,Student,10001 to 25000,3
73,25,Student,No Income,3
74,23,Student,No Income,2
75,26,Student,No Income,4
76,24,Student,25001 to 50000,3
77,26,Student,No Income,4
78,21,Student,No Income,4
79,22,Student,No Income,3
80,24,Student,No Income,5
81,24,Student,10001 to 25000,4
82,23,Student,No Income,3
